"classe_origem";"release_anterior";"SYSTEM";"RELEASE";"CLASS";"WMC";"DIT";"NOC";"CBO";"RFC";"LCOM";"CA";"CE";"NPM";"LCOM3";"LOC";"DAM";"MOA";"MFA";"CAM";"IC";"CBM";"AMC";"key_class";"refatoracao"
"org.apache.log4j.LogMF";"1.2.16";"log4j";"1.2.16";"org.apache.log4j.LogMF";100.0;0.0;0.0;6.0;140.0;4940.0;0.0;6.0;88.0;0.2222;1656.0;0.8333;0.0;0.0;0.2148;0.0;0.0;15.5;"0.0";"1.0"
"org.apache.log4j.jmx.AbstractDynamicMBean";"1.2.16";"log4j";"1.2.16";"org.apache.log4j.jmx.AbstractDynamicMBean";14.0;1.0;4.0;7.0;46.0;79.0;4.0;3.0;11.0;0.8718;253.0;0.3333;0.0;0.0;0.1688;0.0;0.0;168571.0;"0.0";"1.0"
"org.apache.log4j.LogSF";"1.2.16";"log4j";"1.2.16";"org.apache.log4j.LogSF";96.0;0.0;0.0;6.0;130.0;4554.0;0.0;6.0;88.0;0.5263;1421.0;0.5;0.0;0.0;0.2211;0.0;0.0;137813.0;"0.0";"1.0"
"org.apache.log4j.net.JMSAppender";"1.2.17";"log4j";"1.2.17";"org.apache.log4j.net.JMSAppender";30.0;0.0;0.0;5.0;57.0;341.0;0.0;5.0;24.0;0.9151;517.0;0.0;0.0;0.0;0.2867;0.0;0.0;15.8;"0.0";"1.0"
"org.apache.log4j.net.SyslogAppender";"1.2.17";"log4j";"1.2.17";"org.apache.log4j.net.SyslogAppender";22.0;0.0;0.0;8.0;65.0;105.0;0.0;8.0;17.0;0.9568;783.0;0.1875;1.0;0.0;0.2273;0.0;0.0;331364.0;"0.0";"1.0"
"org.apache.log4j.net.SocketHubAppender";"1.2.17";"log4j";"1.2.17";"org.apache.log4j.net.SocketHubAppender";22.0;0.0;0.0;7.0;55.0;129.0;1.0;7.0;17.0;0.8701;338.0;0.8182;3.0;0.0;0.2013;0.0;0.0;138636.0;"0.0";"1.0"
"org.apache.log4j.Priority";"1.2.17";"log4j";"1.2.17";"org.apache.log4j.Priority";13.0;1.0;1.0;22.0;18.0;44.0;22.0;1.0;10.0;0.9667;163.0;0.0;5.0;0.0;0.2833;0.0;0.0;103846.0;"0.0";"1.0"
"org.apache.log4j.LogManager";"1.2.17";"log4j";"1.2.17";"org.apache.log4j.LogManager";13.0;1.0;0.0;22.0;47.0;72.0;11.0;12.0;11.0;0.8214;222.0;0.2857;1.0;0.0;0.1071;0.0;0.0;155385.0;"0.0";"1.0"
"org.apache.log4j.NDC";"1.2.17";"log4j";"1.2.17";"org.apache.log4j.NDC";14.0;1.0;0.0;4.0;44.0;61.0;2.0;2.0;10.0;0.6667;280.0;0.0;0.0;0.0;0.0769;0.0;0.0;187857.0;"0.0";"1.0"
"org.apache.log4j.jdbc.JDBCAppender";"1.2.17";"log4j";"1.2.17";"org.apache.log4j.jdbc.JDBCAppender";23.0;0.0;0.0;7.0;54.0;177.0;0.0;7.0;19.0;0.8081;334.0;1.0;0.0;0.0;0.2464;0.0;0.0;131304.0;"0.0";"1.0"
"org.apache.log4j.net.SMTPAppender";"1.2.17";"log4j";"1.2.17";"org.apache.log4j.net.SMTPAppender";51.0;0.0;0.0;14.0;128.0;1067.0;1.0;14.0;41.0;0.9242;890.0;0.9474;2.0;0.0;0.1471;0.0;0.0;160784.0;"0.0";"1.0"
