SYSTEM;RELEASE;CLASS;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC;key_class
lucene;6.2.0;org.apache.lucene.index.AbortingException;3.0;3.0;0.0;0.0;6.0;1.0;0.0;0.0;1.0;0.0;36.0;0.0;0.0;0.9545;0.75;0.0;0.0;10.6667;0.0
lucene;6.2.0;org.apache.lucene.util.packed.AbstractBlockPackedWriter;11.0;1.0;0.0;4.0;29.0;17.0;0.0;4.0;5.0;0.8455;268.0;0.5455;0.0;0.0;0.4;0.0;0.0;22.3636;0.0
lucene;6.2.0;org.apache.lucene.util.packed.AbstractPagedMutable;18.0;0.0;0.0;6.0;39.0;97.0;0.0;6.0;8.0;0.7574;383.0;0.0;0.0;0.0;0.549;0.0;0.0;19.8333;0.0
lucene;6.2.0;org.apache.lucene.util.Accountable;2.0;1.0;0.0;0.0;3.0;1.0;0.0;0.0;2.0;2.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
lucene;6.2.0;org.apache.lucene.util.Accountables$1;3.0;1.0;0.0;1.0;6.0;3.0;0.0;1.0;2.0;2.0;19.0;0.0;0.0;0.0;0.5556;0.0;0.0;5.3333;0.0
lucene;6.2.0;org.apache.lucene.util.Accountables$2;4.0;1.0;0.0;1.0;5.0;0.0;0.0;1.0;3.0;0.6667;28.0;0.0;0.0;0.0;0.4375;0.0;0.0;5.25;0.0
lucene;6.2.0;org.apache.lucene.util.Accountables;7.0;1.0;0.0;4.0;31.0;21.0;0.0;4.0;5.0;2.0;153.0;0.0;0.0;0.0;0.25;0.0;0.0;20.8571;0.0
lucene;6.2.0;org.apache.lucene.search.similarities.AfterEffect$NoAfterEffect;4.0;0.0;0.0;3.0;6.0;6.0;0.0;3.0;4.0;2.0;17.0;0.0;0.0;0.0;0.6667;0.0;0.0;3.25;0.0
lucene;6.2.0;org.apache.lucene.search.similarities.AfterEffect;4.0;1.0;0.0;2.0;5.0;6.0;0.0;2.0;4.0;2.0;7.0;0.0;0.0;0.0;0.6667;0.0;0.0;0.75;0.0
lucene;6.2.0;org.apache.lucene.search.similarities.AfterEffectB;4.0;0.0;0.0;3.0;13.0;6.0;0.0;3.0;4.0;2.0;77.0;0.0;0.0;0.0;0.6667;0.0;0.0;18.25;0.0
lucene;6.2.0;org.apache.lucene.search.similarities.AfterEffectL;4.0;0.0;0.0;3.0;11.0;6.0;0.0;3.0;4.0;2.0;41.0;0.0;0.0;0.0;0.6667;0.0;0.0;9.25;0.0
lucene;6.2.0;org.apache.lucene.store.AlreadyClosedException;2.0;5.0;0.0;0.0;4.0;1.0;0.0;0.0;2.0;2.0;11.0;0.0;0.0;1.0;0.8333;0.0;0.0;4.5;0.0
lucene;6.2.0;org.apache.lucene.analysis.Analyzer$1;3.0;0.0;0.0;3.0;6.0;3.0;0.0;3.0;2.0;2.0;16.0;0.0;0.0;0.0;0.6667;0.0;0.0;4.3333;0.0
lucene;6.2.0;org.apache.lucene.analysis.Analyzer$2;3.0;0.0;0.0;3.0;9.0;3.0;0.0;3.0;2.0;2.0;41.0;0.0;0.0;0.0;0.6667;0.0;0.0;12.6667;0.0
lucene;6.2.0;org.apache.lucene.analysis.Analyzer$ReuseStrategy;5.0;1.0;0.0;4.0;9.0;10.0;0.0;4.0;3.0;2.0;33.0;0.0;0.0;0.0;0.52;0.0;0.0;5.6;0.0
lucene;6.2.0;org.apache.lucene.analysis.Analyzer$StringTokenStream;4.0;0.0;0.0;5.0;10.0;0.0;0.0;5.0;3.0;0.4667;72.0;1.0;0.0;0.0;0.4375;0.0;0.0;15.75;0.0
lucene;6.2.0;org.apache.lucene.analysis.Analyzer$TokenStreamComponents;5.0;1.0;0.0;3.0;7.0;0.0;0.0;3.0;4.0;0.6667;37.0;0.6667;0.0;0.0;0.45;0.0;0.0;5.8;0.0
lucene;6.2.0;org.apache.lucene.analysis.Analyzer;17.0;1.0;0.0;13.0;48.0;114.0;0.0;13.0;11.0;0.875;360.0;0.4;0.0;0.0;0.3229;0.0;0.0;19.8824;0.0
lucene;6.2.0;org.apache.lucene.analysis.AnalyzerWrapper;8.0;0.0;0.0;3.0;13.0;28.0;0.0;3.0;3.0;2.0;47.0;0.0;0.0;0.0;0.475;0.0;0.0;4.875;0.0
lucene;6.2.0;org.apache.lucene.util.ArrayInPlaceMergeSorter;3.0;0.0;0.0;2.0;6.0;0.0;0.0;2.0;1.0;0.25;32.0;1.0;0.0;0.0;0.5833;0.0;0.0;9.0;0.0
lucene;6.2.0;org.apache.lucene.util.ArrayIntroSorter;5.0;0.0;0.0;2.0;8.0;0.0;0.0;2.0;1.0;0.3333;55.0;1.0;0.0;0.0;0.55;0.0;0.0;9.4;0.0
lucene;6.2.0;org.apache.lucene.util.ArrayTimSorter;7.0;0.0;0.0;2.0;11.0;0.0;0.0;2.0;1.0;0.3889;90.0;1.0;0.0;0.0;0.5714;0.0;0.0;11.4286;0.0
lucene;6.2.0;org.apache.lucene.util.ArrayUtil$1;4.0;0.0;0.0;2.0;7.0;0.0;0.0;2.0;0.0;0.4444;39.0;0.0;0.0;0.0;0.5625;0.0;0.0;8.0;0.0
lucene;6.2.0;org.apache.lucene.util.ArrayUtil;34.0;1.0;0.0;5.0;60.0;487.0;0.0;5.0;31.0;0.5303;773.0;0.0;0.0;0.0;0.1375;0.0;0.0;21.6765;0.0
lucene;6.2.0;org.apache.lucene.util.Attribute;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
lucene;6.2.0;org.apache.lucene.util.AttributeFactory$1;2.0;0.0;0.0;3.0;6.0;0.0;0.0;3.0;0.0;0.0;22.0;0.0;0.0;0.0;0.625;0.0;0.0;9.5;0.0
lucene;6.2.0;org.apache.lucene.util.AttributeFactory$DefaultAttributeFactory$1;3.0;2.0;0.0;2.0;6.0;1.0;0.0;2.0;0.0;0.0;22.0;0.0;0.0;0.875;0.6667;1.0;1.0;6.0;0.0
